"CENSUS_YEAR","DGUID","ALT_GEO_CODE","GEO_LEVEL","GEO_NAME","TNR_SF","TNR_LF","DATA_QUALITY_FLAG","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","CHARACTERISTIC_NOTE","C1_COUNT_TOTAL","SYMBOL","C2_COUNT_MEN.","SYMBOL.1","C3_COUNT_WOMEN.","SYMBOL.2","C4_COUNT_LOW_CI_TOTAL","SYMBOL.3","C5_COUNT_LOW_CI_MEN.","SYMBOL.4","C6_COUNT_LOW_CI_WOMEN.","SYMBOL.5","C7_COUNT_HI_CI_TOTAL","SYMBOL.6","C8_COUNT_HI_CI_MEN.","SYMBOL.7","C9_COUNT_HI_CI_WOMEN.","SYMBOL.8","C10_RATE_TOTAL","SYMBOL.9","C11_RATE_MEN.","SYMBOL.10","C12_RATE_WOMEN.","SYMBOL.11","C13_RATE_LOW_CI_TOTAL","SYMBOL.12","C14_RATE_LOW_CI_MEN.","SYMBOL.13","C15_RATE_LOW_CI_WOMEN.","SYMBOL.14","C16_RATE_HI_CI_TOTAL","SYMBOL.15","C17_RATE_HI_CI_MEN.","SYMBOL.16","C18_RATE_HI_CI_WOMEN.","SYMBOL.17"
2021,"2021S051624660037",24660037,"Aggregate dissemination area",24660037,1.8,1.8,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,63600,"",67000,"",60800,"",61135,"",60604,"",55626,"",66065,"",73396,"",65974,"",63600,"",67000,"",60800,"",61135,"",60604,"",55626,"",66065,"",73396,"",65974,""
2021,"2021S051624660038",24660038,"Aggregate dissemination area",24660038,4.8,6.9,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,48800,"",50800,"",47200,"",47293,"",46604,"",43534,"",50307,"",54996,"",50866,"",48800,"",50800,"",47200,"",47293,"",46604,"",43534,"",50307,"",54996,"",50866,""
2021,"2021S051624660039",24660039,"Aggregate dissemination area",24660039,2.5,3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,54400,"",56800,"",52800,"",52546,"",54620,"",49928,"",56254,"",58980,"",55672,"",54400,"",56800,"",52800,"",52546,"",54620,"",49928,"",56254,"",58980,"",55672,""
2021,"2021S051624660040",24660040,"Aggregate dissemination area",24660040,2.6,4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,56000,"",56000,"",56800,"",53820,"",52924,"",50689,"",58180,"",59076,"",62911,"",56000,"",56000,"",56800,"",53820,"",52924,"",50689,"",58180,"",59076,"",62911,""
2021,"2021S051624660041",24660041,"Aggregate dissemination area",24660041,2.5,2.8,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,48800,"",53200,"",45200,"",46783,"",49411,"",41452,"",50817,"",56989,"",48948,"",48800,"",53200,"",45200,"",46783,"",49411,"",41452,"",50817,"",56989,"",48948,""
2021,"2021S051624660042",24660042,"Aggregate dissemination area",24660042,3.2,3.1,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,44800,"",47200,"",42000,"",43374,"",44287,"",39372,"",46226,"",50113,"",44628,"",44800,"",47200,"",42000,"",43374,"",44287,"",39372,"",46226,"",50113,"",44628,""
2021,"2021S051624660043",24660043,"Aggregate dissemination area",24660043,2,2.1,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,56400,"",59600,"",51600,"",52734,"",56728,"",46060,"",60066,"",62472,"",57140,"",56400,"",59600,"",51600,"",52734,"",56728,"",46060,"",60066,"",62472,"",57140,""
2021,"2021S051624660044",24660044,"Aggregate dissemination area",24660044,2.9,3.4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,48800,"",51600,"",45600,"",46702,"",49583,"",43013,"",50898,"",53617,"",48187,"",48800,"",51600,"",45600,"",46702,"",49583,"",43013,"",50898,"",53617,"",48187,""
2021,"2021S051624660045",24660045,"Aggregate dissemination area",24660045,4.6,6.3,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,42400,"",43200,"",40400,"",40322,"",40980,"",34697,"",44478,"",45420,"",46103,"",42400,"",43200,"",40400,"",40322,"",40980,"",34697,"",44478,"",45420,"",46103,""
2021,"2021S051624660046",24660046,"Aggregate dissemination area",24660046,2.3,3.4,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,47600,"",50400,"",44800,"",45869,"",46367,"",42213,"",49331,"",54433,"",47387,"",47600,"",50400,"",44800,"",45869,"",46367,"",42213,"",49331,"",54433,"",47387,""
2021,"2021S051624660047",24660047,"Aggregate dissemination area",24660047,1.9,2.2,0,143,"    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14,49200,"",50000,"",47600,"",48304,"",47800,"",44015,"",50096,"",52200,"",51185,"",49200,"",50000,"",47600,"",48304,"",47800,"",44015,"",50096,"",52200,"",51185,""
